,match_probability,source_dataset_l,source_dataset_r,unique_id_l,unique_id_r,firstname_l,firstname_r,lastname_l,lastname_r,petname_l,petname_r,dob_l,dob_r,sex_l,sex_r,match_key
2238,100.0,facility_df,house_df,2590,2878,Aidah,Aidah,Fatuma,Fatuma,Aya,Aya,2011-12-13,2011-12-26,2,2,0
2239,100.0,facility_df,house_df,2533,2878,Aidah,Aidah,Fatuma,Fatuma,Aya,Aya,2011-12-13,2011-12-26,2,2,0
1991,100.0,facility_df,house_df,1410,3052,Aidah,Aidah,Nakisuyi,Nakisuyi,,,1963-06-10,1963-06-10,2,2,0
1733,100.0,facility_df,house_df,1635,2782,Aidha,Aidha,Nakiganda,Nakiganda,,,1972-11-27,1972-12-02,2,2,0
2123,100.0,facility_df,house_df,1866,2782,Aidha,Aidha,Nakiganda,Nakiganda,,,1972-12-02,1972-12-02,2,2,0
1544,100.0,facility_df,house_df,1219,567,Aiman,Aiman,Kisuyi,Kisuyi,Amanya,Nakyejwe,1981-04-06,1981-04-19,1,1,0
807,100.0,facility_df,house_df,2075,3746,Aisa,Aisa,Kisambira,Kisambira,Awach,,1975-07-21,1975-08-10,2,2,0
361,100.0,facility_df,house_df,144,2486,Aisa,Aisa,Naigaga,Naigaga,,,2000-12-28,2000-12-08,2,2,0
1336,100.0,facility_df,house_df,1349,2471,Aisa,Aisa,,,Zama,Zama,1991-01-26,1991-01-19,2,2,0
513,100.0,facility_df,house_df,1184,2938,Aisa,Aisa,Naiwumbwe,Naiwumbwe,Akena,,2017-03-11,2017-03-31,2,2,0
2459,100.0,facility_df,house_df,77,2216,Aisa,Aisa,Namuwaya,Namuwaya,Xara,Xara,2003-01-05,2003-01-05,2,2,0
189,99.7,facility_df,house_df,77,1713,Aisa,Aisa,Namuwaya,,Xara,,2003-01-05,2004-09-20,2,2,0
1973,100.0,facility_df,house_df,421,1891,Aisa,Aisa,Rose,Rose,,,1983-11-25,1983-11-25,2,2,0
377,100.0,facility_df,house_df,2776,3961,Aisa,Aisa,Nakiranda,Nakiranda,Kibuga,Femi,1956-12-09,1956-12-02,2,2,0
1446,100.0,facility_df,house_df,2115,2639,Aisha,Aisha,Naigaga,Naigaga,,,1972-06-28,1972-06-28,2,2,0
593,100.0,facility_df,house_df,228,3269,Aisha,Aisha,Babirye,Babirye,Kiira,,2016-06-25,2016-07-15,2,2,0
1971,100.0,facility_df,house_df,1885,1614,Aisha,Aisha,Balungi,Balungi,,,2016-09-14,2016-09-14,2,2,0
469,100.0,facility_df,house_df,1011,3396,Aisha,Aisha,Halima,Halima,Nakato,Vama,2019-11-10,2019-11-30,2,2,0
2474,100.0,facility_df,house_df,308,3180,Aisha,Aisha,Sheira,Sheira,Fara,Fara,2005-01-04,2005-01-04,2,2,0
667,100.0,facility_df,house_df,900,3180,Aisha,Aisha,Sheira,Sheira,Byamugisha,Fara,2004-12-15,2005-01-04,2,2,0
2669,100.0,facility_df,house_df,2179,1844,Aisha,Aisha,Walusansa,Walusansa,Danda,Danda,2028-09-08,2028-09-08,2,2,0
1033,100.0,facility_df,house_df,304,3925,Aishata,Aishata,Naiwumbwe,Naiwumbwe,Jajja,Hira,2020-06-05,2020-06-18,2,2,0
1219,100.0,facility_df,house_df,2174,3276,Ajalo,Ajalo,Shamina,Shamina,Kimera,Fala,1984-02-22,1984-03-06,2,2,0
1615,100.0,facility_df,house_df,1299,722,Akello,Akello,Jesca,Jesca,Barungi,Uma,1937-12-20,1938-01-09,2,2,0
1617,100.0,facility_df,house_df,629,722,Akello,Akello,Jesca,Jesca,Barungi,Uma,1937-12-20,1938-01-09,2,2,0
826,100.0,facility_df,house_df,2534,221,Akiiya,Akiiya,,,,,2012-05-03,2012-05-03,2,2,0
2967,100.0,facility_df,house_df,2713,3275,Akimu,Akimu,Odongo,Odongo,Igomu,Igomu,1945-11-11,1945-11-11,1,1,0
1196,100.0,facility_df,house_df,1287,874,Akini,Akini,Mutesi,Mutesi,Kikazi,,1990-03-27,1990-04-09,2,2,0
1264,100.0,facility_df,house_df,186,3060,Akiramu,Akiramu,Kigenyi,Kigenyi,Awori,Malinga,2010-07-29,2010-08-18,1,1,0
2785,100.0,facility_df,house_df,16,3060,Akiramu,Akiramu,Kigenyi,Kigenyi,Malinga,Malinga,2010-08-18,2010-08-18,1,1,0
770,100.0,facility_df,house_df,1175,1907,Akiru,Akiru,Mutesi,Mutesi,Malaika,,2000-04-03,2000-03-03,2,2,0
1809,100.0,facility_df,house_df,1609,1197,Alafat,Alafat,Kibazo,Kibazo,Nsibambi,Jjingo,1967-02-14,1967-02-27,1,1,0
958,100.0,facility_df,house_df,1262,688,Alaisa,Alaisa,Kisakye,Kisakye,Baka,Qira,1962-04-23,1962-05-13,2,2,0
715,100.0,facility_df,house_df,1120,530,Alaisa,Alaisa,Naigaga,Naigaga,Aguti,,2009-03-19,2009-04-08,2,2,0
2634,100.0,facility_df,house_df,2237,688,Alaisa,Alaisa,Kisakye,Kisakye,Qira,Qira,1962-05-13,1962-05-13,2,2,0
122,98.84,facility_df,house_df,2704,3268,Alamanzan,Alamanzan,Naku,Din,Casmir,Kobusheshe,1971-09-11,1971-08-28,1,1,0
2417,100.0,facility_df,house_df,2704,2388,Alamanzan,Alamanzan,Naku,Naku,Casmir,Casmir,1971-09-11,1971-09-24,1,1,0
1155,100.0,facility_df,house_df,992,1553,Alamanzan,Alamanzan,Amuza,Amuza,Alimu,Mayanja,1985-11-19,1985-12-09,1,1,0
1542,100.0,facility_df,house_df,2859,1824,Alaziya,Alaziya,Shamida,Shamida,Jajja,,2018-12-08,2018-12-28,2,2,0
968,100.0,facility_df,house_df,1633,1989,Alex,Alex,Idinda,Idinda,Nakato,Mwijukye,1967-10-08,1967-10-21,1,1,0
974,100.0,facility_df,house_df,609,1989,Alex,Alex,Idinda,Idinda,Nakato,Mwijukye,1967-10-08,1967-10-21,1,1,0
894,100.0,facility_df,house_df,2499,696,Alex,Alex,James,James,Bakibinga,Kobusheshe,2009-11-23,2009-11-16,1,1,0
2618,100.0,facility_df,house_df,2779,447,Alex,Alex,Ziraba,Ziraba,Mugabi,Mugabi,2005-03-22,2005-03-22,1,1,0
2759,100.0,facility_df,house_df,2663,1989,Alex,Alex,Idinda,Idinda,Mwijukye,Mwijukye,1967-10-21,1967-10-21,1,1,0
2212,100.0,facility_df,house_df,307,447,Alex,Alex,Ziraba,Ziraba,Mugabi,Mugabi,2005-03-09,2005-03-22,1,1,0
2767,100.0,facility_df,house_df,2054,283,Ali,Ali,Hakram,Hakram,Igomu,Igomu,2013-03-13,2013-03-13,1,1,0
736,100.0,facility_df,house_df,1806,923,Ali,Ali,Abdu,Abdu,Nabbosa,Kalyango,2020-01-22,2020-01-15,1,1,0
735,100.0,facility_df,house_df,2034,923,Ali,Ali,Abdu,Abdu,Nabbosa,Kalyango,2020-01-22,2020-01-15,1,1,0
1292,100.0,facility_df,house_df,2080,1243,Ali,Ali,Sawa,Sawa,Wazi,Ekwaro,1990-05-24,1990-06-13,1,1,0
2563,100.0,facility_df,house_df,2347,923,Ali,Ali,Abdu,Abdu,Kalyango,Kalyango,2020-01-15,2020-01-15,1,1,0
2748,100.0,facility_df,house_df,2697,1375,Ali,Ali,Jayson,Jayson,Mahoro,Mahoro,2005-09-05,2005-09-05,1,1,0
1335,100.0,facility_df,house_df,4,283,Ali,Ali,Hakram,Hakram,Igomu,Igomu,2014-05-17,2013-03-13,1,1,0
1447,100.0,facility_df,house_df,2163,1520,Alice,Alice,Nankwanga,Nankwanga,Afande,,2007-07-09,2007-07-22,2,2,0
146,99.27,facility_df,house_df,1378,997,Alihamidu,Alihamidu,Igulu,Kigenyi,Bugembe,Jogo,2018-09-22,2018-09-11,1,1,0
1431,100.0,facility_df,house_df,1378,3157,Alihamidu,Alihamidu,Igulu,Igulu,Bugembe,Kamuhanda,2018-09-22,2018-10-12,1,1,0
2520,100.0,facility_df,house_df,1147,339,Alihamidu,Alihamidu,Mubaale,Mubaale,Guwatudde,Guwatudde,1992-12-15,1992-12-28,1,1,0
2224,100.0,facility_df,house_df,2820,2050,Alikoba,Alikoba,Hajira,Hajira,,,2010-11-14,2010-11-14,2,2,0
1739,100.0,facility_df,house_df,114,1551,Alima,Alima,Precious,Precious,Alibhai,,1979-09-28,1979-10-11,2,2,0
2126,100.0,facility_df,house_df,219,1551,Alima,Alima,Precious,Precious,,,1979-10-11,1979-10-11,2,2,0
1807,100.0,facility_df,house_df,2511,914,Allan,Allan,Kaswabuli,Kaswabuli,Matano,Nakyejwe,2005-06-20,2005-06-13,1,1,0
1968,100.0,facility_df,house_df,1466,2691,Amalasi,Amulasi,Hairat,Hairat,Nola,Nola,1947-09-04,1947-09-17,2,2,1
1967,100.0,facility_df,house_df,1698,2691,Amalasi,Amulasi,Hairat,Hairat,Nola,Nola,1947-09-04,1947-09-17,2,2,1
238,99.96,facility_df,house_df,2683,2185,Amina,Amina,Namulawa,Brenda,,Safi,1947-06-28,1947-06-28,2,2,0
777,100.0,facility_df,house_df,2612,2185,Amina,Amina,Brenda,Brenda,Nnabunya,Safi,1947-07-05,1947-06-28,2,2,0
211,99.86,facility_df,house_df,1292,2995,Amina,Amina,Nabirye,Nabirye,,Sira,1994-05-29,1984-06-06,2,2,0
2507,100.0,facility_df,house_df,1791,1599,Amina,Amina,Vanisha,Vanisha,Sela,Sela,1972-01-01,1972-01-01,2,2,0
367,100.0,facility_df,house_df,602,843,Amina,Amina,Namaganda,Namaganda,Kasango,Bila,1939-04-07,1939-05-10,2,2,0
1250,100.0,facility_df,house_df,2313,1894,Amina,Amina,Biribawa,Biribawa,Kyanjo,,1933-01-12,1933-02-01,2,2,0
2044,100.0,facility_df,house_df,689,328,Amina,Amina,Namususwa,Namususwa,Jaira,Jaira,1946-05-07,1946-05-27,2,2,0
126,98.98,facility_df,house_df,2612,3149,Amina,Amina,Brenda,Namulawa,Nnabunya,,1947-07-05,1947-06-28,2,2,0
2213,100.0,facility_df,house_df,2023,2680,Amina,Amina,Nandhego,Nandhego,Vara,Vara,2003-05-25,2003-06-07,2,2,0
1251,100.0,facility_df,house_df,1720,1894,Amina,Amina,Biribawa,Biribawa,Kyanjo,,1933-01-12,1933-02-01,2,2,0
1900,100.0,facility_df,house_df,2683,3149,Amina,Amina,Namulawa,Namulawa,,,1947-06-28,1947-06-28,2,2,0
1347,100.0,facility_df,house_df,1292,2061,Amina,Amina,Nabirye,Nabirye,,,1994-05-29,1994-05-29,2,2,0
252,100.0,facility_df,house_df,1783,1924,Amina,Amina,,,Nabbosa,Tama,1967-06-02,1967-05-26,2,2,0
1165,100.0,facility_df,house_df,2365,2589,Aminsi,Aminsi,Alex,Alex,Balimwezo,Katabazi,1974-12-02,1974-12-15,1,1,0
2727,100.0,facility_df,house_df,31,2252,Aminsi,Aminsi,Ibra,Ibra,Jose,Jose,2000-12-22,2000-12-22,1,1,0
2724,100.0,facility_df,house_df,2383,1412,Aminsi,Aminsi,Rahim,Rahim,Mukitale,Mukitale,1996-02-18,1996-02-18,1,1,0
1469,100.0,facility_df,house_df,2029,943,Aminsi,Aminsi,Tekule,Tekule,Nabbosa,Masinde,1985-03-26,1985-03-15,1,1,0
2926,100.0,facility_df,house_df,798,51,Amiri,Amiri,Fatihi,Fatihi,Mugenzi,Mugenzi,1987-02-23,1987-02-23,1,1,0
504,100.0,facility_df,house_df,763,543,Amosi,Amosi,,,Akoni,Lumala,1996-10-07,1996-10-07,1,1,0
1851,100.0,facility_df,house_df,24,3601,Amulasi,Amulasi,Sumini,Sumini,Abasi,,1961-03-21,1961-03-14,2,2,0
1940,100.0,facility_df,house_df,1161,3076,Amulasi,Amulasi,Mariam,Mariam,,,1940-05-20,1940-05-20,2,2,0
2860,100.0,facility_df,house_df,2279,2691,Amulasi,Amulasi,Hairat,Hairat,Nola,Nola,1947-09-17,1947-09-17,2,2,0
1204,100.0,facility_df,house_df,1204,2214,Amulasi,Amulasi,Nakasolo,Nakasolo,Oduku,Xara,1970-11-03,1970-10-23,2,2,0
2441,100.0,facility_df,house_df,667,2270,Amuli,Amuli,Mutesa,Mutesa,Jogo,Jogo,1981-10-10,1981-10-30,1,1,0
1726,100.0,facility_df,house_df,1258,3666,Amuli,Amuli,Kutesa,Kutesa,Amani,Gimei,1960-06-25,1960-07-15,1,1,0
1505,100.0,facility_df,house_df,2350,779,Amurasi,Amurasi,Kisambira,Kisambira,Byamugisha,,1997-07-14,1997-07-27,2,2,0
1506,100.0,facility_df,house_df,1905,779,Amurasi,Amurasi,Kisambira,Kisambira,Byamugisha,,1997-07-14,1997-07-27,2,2,0
2999,100.0,facility_df,house_df,1811,2818,Amurati,Amurati,Bede,Bede,Lani,Lani,1968-09-10,1968-09-10,2,2,0
1058,100.0,facility_df,house_df,2409,3776,Amuza,Amuza,Lwabaga,Lwabaga,Babiri,Gidudu,1938-07-14,1938-07-07,1,1,0
1056,100.0,facility_df,house_df,2425,3776,Amuza,Amuza,Lwabaga,Lwabaga,Babiri,Gidudu,1938-07-14,1938-07-07,1,1,0
1624,100.0,facility_df,house_df,199,3016,Angel,Angel,Nakantu,Nakantu,Aruho,Esa,2006-11-19,2006-12-09,2,2,0
1620,100.0,facility_df,house_df,2336,3016,Angel,Angel,Nakantu,Nakantu,Aruho,Esa,2006-11-19,2006-12-09,2,2,0
2158,100.0,facility_df,house_df,2462,1068,Angela,Angela,Edisa,Edisa,,,1976-10-10,1976-10-10,2,2,0
1795,100.0,facility_df,house_df,2832,1068,Angela,Angela,Edisa,Edisa,Nalubega,,1976-11-06,1976-10-10,2,2,0
1112,100.0,facility_df,house_df,1567,1563,Angella,Angella,Aisha,Aisha,Amaliza,Wira,1971-06-19,1971-05-28,2,2,0
2552,100.0,facility_df,house_df,1686,265,Anisa,Anisa,Nakasolo,Nakasolo,Dila,Dila,1957-06-01,1957-06-21,2,2,0
843,100.0,facility_df,house_df,983,29,Anisha,Anisha,Mirisa,Mirisa,Kwagala,Vama,1991-08-31,1991-09-13,2,2,0
2647,100.0,facility_df,house_df,1538,29,Anisha,Anisha,Mirisa,Mirisa,Vama,Vama,1991-09-13,1991-09-13,2,2,0
2661,100.0,facility_df,house_df,2717,1171,Anisha,Anisha,Nakimuli,Nakimuli,Malaika,Malaika,1981-01-17,1981-01-17,2,2,0
536,100.0,facility_df,house_df,565,4107,Anisha,Anisha,Namumbya,Namumbya,Nakato,Qira,1932-06-04,1932-06-17,2,2,0
682,100.0,facility_df,house_df,1332,3736,Anisha,Anisha,Namutamba,Namutamba,Atiko,Bria,1940-04-30,1940-05-13,2,2,0
1282,100.0,facility_df,house_df,141,1431,Anisha,Anisha,Latifa,Latifa,,,1992-09-22,1992-10-12,2,2,0
140,99.17,facility_df,house_df,141,33,Anisha,Anisha,Latifa,Nangobi,,Rira,1992-09-22,1992-10-04,2,2,0
838,100.0,facility_df,house_df,2797,29,Anisha,Anisha,Mirisa,Mirisa,Kwagala,Vama,1991-08-31,1991-09-13,2,2,0
1288,100.0,facility_df,house_df,1968,3986,Annet,Annet,Kevin,Kevin,Kiwanuka,Ema,1954-12-29,1955-01-18,2,2,0
579,100.0,facility_df,house_df,2804,2903,Annet,Annet,,,,,1977-10-27,1977-10-27,2,2,0
949,100.0,facility_df,house_df,2076,3930,Apeyro,Apeyro,Harriet,Harriet,Jjaja,Hara,1950-01-10,1950-01-30,2,2,0
951,100.0,facility_df,house_df,329,3930,Apeyro,Apeyro,Harriet,Harriet,Jjaja,Hara,1950-01-10,1950-01-30,2,2,0
2841,100.0,facility_df,house_df,169,3930,Apeyro,Apeyro,Harriet,Harriet,Hara,Hara,1950-01-30,1950-01-30,2,2,0
2503,100.0,facility_df,house_df,825,1300,Arafati,Arafati,Mulondo,Mulondo,Kefa,Kefa,2019-10-26,2019-11-15,1,1,0
1816,100.0,facility_df,house_df,2778,3497,Asa,Asa,Adiya,Adiya,Nalukwago,Yara,1952-10-28,1952-11-10,2,2,0
1686,100.0,facility_df,house_df,2596,3592,Asadi,Asadi,Peter,Peter,Nsereko,Lwasa,1991-10-05,1991-09-28,1,1,0
2934,100.0,facility_df,house_df,1981,3592,Asadi,Asadi,Peter,Peter,Lwasa,Lwasa,1991-09-28,1991-09-28,1,1,0
2916,100.0,facility_df,house_df,1764,3365,Asar,Asar,Patience,Patience,Kiki,Kiki,1962-03-28,1962-03-28,2,2,0
1943,100.0,facility_df,house_df,911,3474,Asha,Asha,Shakira,Shakira,,,2004-09-18,2004-09-18,2,2,0
2387,100.0,facility_df,house_df,556,279,Asha,Asha,Lazia,Lazia,Ula,Ula,1941-11-11,1941-11-24,2,2,0
2279,100.0,facility_df,house_df,2671,1489,Ashifati,Ashifati,Mwase,Mwase,Kamya,Kamya,1930-12-03,1930-12-23,1,1,0
2266,100.0,facility_df,house_df,2810,2258,Ashirafu,Ashirafu,Asadi,Asadi,Mugasha,Mugasha,1997-10-06,1997-10-19,1,1,0
354,100.0,facility_df,house_df,569,1239,Ashirafu,Ashirafu,,,Wanuri,Nalubega,2020-11-06,2020-11-06,1,1,0
2420,100.0,facility_df,house_df,2821,250,Ashirafu,Ashirafu,Rashid,Rashid,Kimeze,Kimeze,2011-09-13,2011-09-06,1,1,0
2639,100.0,facility_df,house_df,2045,1710,Asia,Asia,Nakagolo,Nakagolo,Abena,Abena,1982-04-21,1982-04-21,2,2,0
1048,100.0,facility_df,house_df,2878,875,Asiina,Asiina,Namukose,Namukose,Kikazi,,2025-02-06,2025-02-26,2,2,0
1049,100.0,facility_df,house_df,1221,875,Asiina,Asiina,Namukose,Namukose,Kikazi,,2025-02-06,2025-02-26,2,2,0
2813,100.0,facility_df,house_df,1196,3277,Asiiya,Asiiya,Kyakuwaire,Kyakuwaire,Gia,Gia,1993-12-05,1993-12-05,2,2,0
820,100.0,facility_df,house_df,1578,2594,Asina,Asina,Namutamba,Namutamba,Banyanga,Kaya,1948-03-03,1948-03-23,2,2,0
1648,100.0,facility_df,house_df,2242,1539,Asina,Asina,Vanisha,Vanisha,Akili,,1964-09-28,1964-10-11,2,2,0
1298,100.0,facility_df,house_df,622,3895,Asuman,Asuman,Kasada,Kasada,Ebalu,Kyangwa,1990-11-27,1990-12-17,1,1,0
2882,100.0,facility_df,house_df,247,3895,Asuman,Asuman,Kasada,Kasada,Kyangwa,Kyangwa,1990-12-17,1990-12-17,1,1,0
2592,100.0,facility_df,house_df,1518,2802,Asuman,Asuman,Kirunda,Kirunda,Lwanga,Lwanga,1986-04-11,1986-04-11,1,1,0
859,100.0,facility_df,house_df,6,2512,Asuman,Asuman,Sempa,Sempa,Aguti,Bwambale,2002-03-02,2002-03-22,1,1,0
2394,100.0,facility_df,house_df,1872,2844,Asumati,Asumati,Shamida,Shamida,Haya,Haya,1951-12-09,1951-12-22,2,2,0
638,100.0,facility_df,house_df,370,199,Asumati,Asumati,Babirye,Babirye,Nkumba,Azara,2023-07-07,2023-07-20,2,2,0
1645,100.0,facility_df,house_df,1514,1922,Ayanga,Ayanga,Naikoba,Naikoba,Nabbosa,,1939-03-22,1939-04-04,2,2,0
2083,100.0,facility_df,house_df,1658,1922,Ayanga,Ayanga,Naikoba,Naikoba,,,1939-04-04,1939-04-04,2,2,0
2434,100.0,facility_df,house_df,2432,816,Ayubu,Ayubu,Kakaire,Kakaire,Madoi,Madoi,2010-10-12,2010-10-12,1,1,0
883,100.0,facility_df,house_df,2344,2893,Ayubu,Ayubu,Jesse,Jesse,Abenaa,Kobusheshe,2017-01-19,2017-02-01,1,1,0
2129,100.0,facility_df,house_df,660,445,Ayubu,Ayubu,Waigangala,Waigangala,Mande,Mande,1953-12-17,1954-01-06,1,1,0
2064,100.0,facility_df,house_df,2474,383,Ayubu,Ayubu,Mutale,Mutale,Masiko,Masiko,1998-06-11,1998-06-24,1,1,0
922,100.0,facility_df,house_df,1995,1080,Ayubu,Ayubu,Kafulu,Kafulu,Nalubowa,Kiprotich,2015-08-08,2015-08-21,1,1,0
2708,100.0,facility_df,house_df,393,2893,Ayubu,Ayubu,Jesse,Jesse,Kobusheshe,Kobusheshe,2017-02-01,2017-02-01,1,1,0
2445,100.0,facility_df,house_df,1613,1101,Ayubu,Ayubu,Isabirye,Isabirye,Kafumbe,Kafumbe,1999-08-01,1999-08-01,1,1,0
795,100.0,facility_df,house_df,493,2189,Ayuubu,Ayuubu,Isabirye,Isabirye,Nsereko,Arin,2015-04-11,2015-05-01,1,1,0
2662,100.0,facility_df,house_df,2664,2135,Ayuubu,Ayuubu,Adam,Adam,Nalubega,Nalubega,2014-08-01,2014-08-01,1,1,0
2978,100.0,facility_df,house_df,445,1148,Aza,Aza,Hurat,Hurat,Kala,Kala,1960-09-14,1960-09-14,2,2,0
2221,100.0,facility_df,house_df,1268,759,Aza,Aza,Jazira,Jazira,,,1988-07-12,1988-07-12,2,2,0
1681,100.0,facility_df,house_df,1775,163,Azah,Azah,Joanita,Joanita,Nansubuga,Diara,1972-01-30,1972-02-12,2,2,0
577,100.0,facility_df,house_df,2317,1108,Azam,Azam,Nabirye,Nabirye,Namara,Ola,1993-06-11,1993-06-24,2,2,0
2984,100.0,facility_df,house_df,2121,3891,Azamu,Azamu,Kisoma,Kisoma,Gimei,Gimei,1942-04-26,1942-04-26,1,1,0
2054,100.0,facility_df,house_df,1799,1271,Azena,Azena,Namaganda,Namaganda,Rila,Rila,1933-10-26,1933-10-19,2,2,0
1281,100.0,facility_df,house_df,704,3310,Azena,Azena,Mirembe,Mirembe,Malaika,,1983-12-18,1983-12-11,2,2,0
945,100.0,facility_df,house_df,13,676,Azena,Azena,Naula,Naula,Babiri,Ima,1976-11-01,1976-10-12,2,2,0
1410,100.0,facility_df,house_df,1586,1610,Azena,Azena,Nabulumba,Nabulumba,Ariba,,2008-09-12,2008-09-05,2,2,0
2056,100.0,facility_df,house_df,538,1271,Azena,Azena,Namaganda,Namaganda,Rila,Rila,1933-10-26,1933-10-19,2,2,0
1411,100.0,facility_df,house_df,314,2197,Azena,Azena,Nantambi,Nantambi,Nsibambi,,1997-04-08,1997-04-21,2,2,0
2055,100.0,facility_df,house_df,767,1271,Azena,Azena,Namaganda,Namaganda,Rila,Rila,1933-10-26,1933-10-19,2,2,0
